Species;scientific_name
Pigeon biset domestique;Columba livia domesticus
Pigeon colombin;Columba oenas
Pigeon ramier;Columba palumbus
Tourterelle turque;Streptopelia decaocto
Tourterelle des bois;Streptopelia turtur
Perruche à collier;Psittacula krameri
Coucou gris;Cuculus canorus
Coucou geai;Clamator glandarius
Effraie des clochers;Tyto alba
Petit-duc scops;Otus scops
Grand-duc d'Europe;Bubo bubo
Chevêche d'Athéna;Athene noctua
Chouette hulotte;Strix aluco
Hibou moyen-duc;Asio otus
Hibou des marais;Asio flammeus
Chouette de Tengmalm;Aegolius funereus
Engoulevent d'Europe;Caprimulgus europaeus
Martinet à ventre blanc;Tachymarptis melba
Martinet noir;Apus apus
Martinet pâle;Apus pallidus
Martin-pêcheur d'Europe;Alcedo atthis
Guêpier d'Europe;Merops apiaster
Rollier d'Europe;Coracias garrulus
Huppe fasciée;Upupa epops
Torcol fourmilier;Jynx torquilla
Pic cendré;Picus canus
Pic vert;Picus viridis
Pic noir;Dryocopus martius
Pic épeiche;Dendrocopos major
Pic mar;Dendrocopos medius
Pic épeichette;Dendrocopos minor
Alouette calandrelle;Calandrella brachydactyla
Cochevis huppé;Galerida cristata
Alouette lulu;Lullula arborea
Alouette des champs;Alauda arvensis
Hirondelle de rivage;Riparia riparia
Hirondelle de rochers;Ptyonoprogne rupestris
Hirondelle rustique;Hirundo rustica
Hirondelle de fenêtre;Delichon urbicum
Pipit rousseline;Anthus campestris
Pipit des arbres;Anthus trivialis
Pipit farlouse;Anthus pratensis
Pipit à gorge rousse;Anthus cervinus
Pipit spioncelle;Anthus spinoletta
Pipit de Richard;Anthus richardi
Bergeronnette printanière;Motacilla flava
Bergeronnette des ruisseaux;Motacilla cinerea
Bergeronnette grise;Motacilla alba
Jaseur boréal;Bombycilla garrulus
Cincle plongeur;Cinclus cinclus
Troglodyte mignon;Troglodytes troglodytes
Accenteur mouchet;Prunella modularis
Accenteur alpin;Prunella collaris
Rougegorge familier;Erithacus rubecula
Rossignol philomèle;Luscinia megarhynchos
Gorgebleue à miroir;Luscinia svecica
Rougequeue noir;Phoenicurus ochruros
Rougequeue à front blanc;Phoenicurus phoenicurus
Tarier des prés;Saxicola rubetra
Tarier pâtre;Saxicola rubicola
Traquet motteux;Oenanthe oenanthe
Traquet oreillard;Oenanthe hispanica
Monticole de roche;Monticola saxatilis
Merle à plastron;Turdus torquatus
Merle noir;Turdus merula
Grive litorne;Turdus pilaris
Grive musicienne;Turdus philomelos
Grive mauvis;Turdus iliacus
Grive draine;Turdus viscivorus
Bouscarle de Cetti;Cettia cetti
Cisticole des joncs;Cisticola juncidis
Locustelle tachetée;Locustella naevia
Locustelle luscinioïde;Locustella luscinioides
Lusciniole à moustaches;Acrocephalus melanopogon
Phragmite des joncs;Acrocephalus schoenobaenus
Rousserolle verderolle;Acrocephalus palustris
Rousserolle effarvatte;Acrocephalus scirpaceus
Rousserolle turdoïde;Acrocephalus arundinaceus
Hypolaïs ictérine;Hippolais icterina
Hypolaïs polyglotte;Hippolais polyglotta
Fauvette à tête noire;Sylvia atricapilla
Fauvette des jardins;Sylvia borin
Fauvette babillarde;Sylvia curruca
